"Industrial Production, Original and Seasonally Adjusted by Country and Month"

"Country","Month","Industrial Production index, original, 2010=100"
"Austria","2007M12",101.7
"Austria","2008M01",98.8
"Austria","2008M02",104.5
"Austria","2008M03",109.9
"Austria","2008M04",110.8
"Austria","2008M05",103.8
"Austria","2008M06",112.2
"Austria","2008M07",108.8
"Austria","2008M08",93.0
"Austria","2008M09",116.7
"Austria","2008M10",115.7
"Austria","2008M11",104.3
"Austria","2008M12",99.5
"Austria","2009M01",83.1
"Austria","2009M02",86.6
"Austria","2009M03",102.2
"Austria","2009M04",90.5
"Austria","2009M05",86.8
"Austria","2009M06",92.8
"Austria","2009M07",95.2
"Austria","2009M08",81.2
"Austria","2009M09",101.8
"Austria","2009M10",100.2
"Austria","2009M11",102.9
"Austria","2009M12",97.8
"Austria","2010M01",77.6
"Austria","2010M02",88.3
"Austria","2010M03",105.9
