"Exchange Rate (XR) by Country, Indicator and Month"

"Country","Month","Exchange Rate, NCU per Euro"
"Armenia","2009M04",491.2601
"Armenia","2009M05",508.4070
"Armenia","2009M06",514.0377
"Armenia","2009M07",514.6434
"Armenia","2009M08",531.8312
"Armenia","2009M09",553.1909
"Armenia","2009M10",571.4174
"Armenia","2009M11",577.3045
"Armenia","2009M12",555.9988
"Armenia","2010M01",538.7898
"Armenia","2010M02",520.7218
"Armenia","2010M03",534.8779
"Armenia","2010M04",528.8625
"Armenia","2010M05",483.7869
"Armenia","2010M06",455.9384
"Armenia","2010M07",468.3722
"Armenia","2010M08",472.4600
"Armenia","2010M09",474.7904
"Armenia","2010M10",500.7309
"Armenia","2010M11",493.7183
"Armenia","2010M12",476.6014
"Armenia","2011M01",487.5761
"Armenia","2011M02",498.2328
"Armenia","2011M03",515.7827
"Armenia","2011M04",539.6433
"Armenia","2011M05",537.0149
"Armenia","2011M06",539.0576
"Armenia","2011M07",523.4597
"Armenia","2011M08",526.4941
"Armenia","2011M09",512.6398
"Armenia","2011M10",516.2934
"Armenia","2011M11",518.8867
"Armenia","2011M12",505.0377
"Armenia","2012M01",500.1017
"Armenia","2012M02",513.9210
"Armenia","2012M03",513.7065
"Armenia","2012M04",515.9516
"Armenia","2012M05",508.9174
"Armenia","2012M06",519.3935
"Armenia","2012M07",507.0059
"Armenia","2012M08",509.2935
"Armenia","2012M09",525.3057
"Armenia","2012M10",527.5512
"Armenia","2012M11",522.2474
"Armenia","2012M12",532.0680
"Armenia","2013M01",540.3496
"Armenia","2013M02",543.7104
"Armenia","2013M03",537.6032
"Armenia","2013M04",542.2579
"Armenia","2013M05",539.7683
"Armenia","2013M06",544.2250
"Armenia","2013M07",536.9177
"Armenia","2013M08",542.1415
"Armenia","2013M09",544.8225
"Armenia","2013M10",553.7426
"Armenia","2013M11",546.4997
"Armenia","2013M12",555.4554
"Armenia","2014M01",554.4492
"Armenia","2014M02",562.1382
"Armenia","2014M03",572.5179
"Armenia","2014M04",572.2468
"Armenia","2014M05",567.5913
"Armenia","2014M06",558.5183
"Armenia","2014M07",551.2234
"Armenia","2014M08",545.2660
"Armenia","2014M09",527.4135
"Armenia","2014M10",519.5577
"Armenia","2014M11",524.3874
"Armenia","2014M12",571.6286
"Armenia","2015M01",552.8543
"Armenia","2015M02",542.9497
"Armenia","2015M03",517.6671
"Armenia","2015M04",511.0211
"Armenia","2015M05",535.4549
"Armenia","2015M06",532.7616
"Armenia","2015M07",524.8832
"Armenia","2015M08",534.4601
